sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Time0D_7D_4M
AE52.2	NA	NA	NA	2	NA	AE52	AshridgeEstate	7D_rep2	2
AE52.3	NA	NA	NA	3	NA	AE52	AshridgeEstate	7D_rep3	1
AE75.1	NA	NA	NA	1	NA	AE75	AshridgeEstate	7D_rep1	2
AE75.2	NA	NA	NA	2	NA	AE75	AshridgeEstate	7D_rep2	2
AE75.3	NA	NA	NA	3	NA	AE75	AshridgeEstate	7D_rep3	1
AE75.4	NA	NA	NA	4	NA	AE75	AshridgeEstate	7D_rep4	2
AE95.1	NA	NA	NA	1	NA	AE95	AshridgeEstate	7D_rep1	2
AE95.2	NA	NA	NA	2	NA	AE95	AshridgeEstate	7D_rep2	2
AE95.3	NA	NA	NA	3	NA	AE95	AshridgeEstate	7D_rep3	2
AE95.4	NA	NA	NA	4	NA	AE95	AshridgeEstate	7D_rep4	2
AE97.1	NA	NA	NA	1	NA	AE97	AshridgeEstate	7D_rep1	2
AE97.2	NA	NA	NA	2	NA	AE97	AshridgeEstate	7D_rep2	2
AE97.3	NA	NA	NA	3	NA	AE97	AshridgeEstate	7D_rep3	2
AE97.4	NA	NA	NA	4	NA	AE97	AshridgeEstate	7D_rep4	2
AE98.1	NA	NA	NA	1	NA	AE98	AshridgeEstate	7D_rep1	2
AE98.2	NA	NA	NA	2	NA	AE98	AshridgeEstate	7D_rep2	1
AE98.3	NA	NA	NA	3	NA	AE98	AshridgeEstate	7D_rep3	1
AE98.4	NA	NA	NA	4	NA	AE98	AshridgeEstate	7D_rep4	1
BB01.1	NA	NA	NA	1	NA	BB01	BurhamBeeches	7D_rep1	2
BB01.2	NA	NA	NA	2	NA	BB01	BurhamBeeches	7D_rep2	2
BB01.3	NA	NA	NA	3	NA	BB01	BurhamBeeches	7D_rep3	2
BB01.4	NA	NA	NA	4	NA	BB01	BurhamBeeches	7D_rep4	2
BB02.1	NA	NA	NA	1	NA	BB02	BurhamBeeches	7D_rep1	4
BB02.2	NA	NA	NA	2	NA	BB02	BurhamBeeches	7D_rep2	4
BB02.3	NA	NA	NA	3	NA	BB02	BurhamBeeches	7D_rep3	4
BB02.4	NA	NA	NA	4	NA	BB02	BurhamBeeches	7D_rep4	4
BB03.1	NA	NA	NA	1	NA	BB03	BurhamBeeches	7D_rep1	1
BB03.2	NA	NA	NA	2	NA	BB03	BurhamBeeches	7D_rep2	1
BB03.3	NA	NA	NA	3	NA	BB03	BurhamBeeches	7D_rep3	1
BB03.4	NA	NA	NA	4	NA	BB03	BurhamBeeches	7D_rep4	1
BB04.1	NA	NA	NA	1	NA	BB04	BurhamBeeches	7D_rep1	2
BB04.2	NA	NA	NA	2	NA	BB04	BurhamBeeches	7D_rep2	2
BB04.3	NA	NA	NA	3	NA	BB04	BurhamBeeches	7D_rep3	2
BB04.4	NA	NA	NA	4	NA	BB04	BurhamBeeches	7D_rep4	2
BB05.1	NA	NA	NA	1	NA	BB05	BurhamBeeches	7D_rep1	2
BB05.2	NA	NA	NA	2	NA	BB05	BurhamBeeches	7D_rep2	2
BB05.3	NA	NA	NA	3	NA	BB05	BurhamBeeches	7D_rep3	2
BB05.4	NA	NA	NA	4	NA	BB05	BurhamBeeches	7D_rep4	2
BB06.1	NA	NA	NA	1	NA	BB06	BurhamBeeches	7D_rep1	2
BB06.2	NA	NA	NA	2	NA	BB06	BurhamBeeches	7D_rep2	2
BB06.3	NA	NA	NA	3	NA	BB06	BurhamBeeches	7D_rep3	4
BB06.4	NA	NA	NA	4	NA	BB06	BurhamBeeches	7D_rep4	2
BB07.1	NA	NA	NA	1	NA	BB07	BurhamBeeches	7D_rep1	2
BB07.2	NA	NA	NA	2	NA	BB07	BurhamBeeches	7D_rep2	2
BB07.3	NA	NA	NA	3	NA	BB07	BurhamBeeches	7D_rep3	2
BB07.4	NA	NA	NA	4	NA	BB07	BurhamBeeches	7D_rep4	2
BB08.1	NA	NA	NA	1	NA	BB08	BurhamBeeches	7D_rep1	4
BB08.2	NA	NA	NA	2	NA	BB08	BurhamBeeches	7D_rep2	4
BB08.4	NA	NA	NA	4	NA	BB08	BurhamBeeches	7D_rep4	4
BB09.1	NA	NA	NA	1	NA	BB09	BurhamBeeches	7D_rep1	2
BB09.2	NA	NA	NA	2	NA	BB09	BurhamBeeches	7D_rep2	2
BB09.3	NA	NA	NA	3	NA	BB09	BurhamBeeches	7D_rep3	2
BB09.4	NA	NA	NA	4	NA	BB09	BurhamBeeches	7D_rep4	2
BB10.1	NA	NA	NA	1	NA	BB10	BurhamBeeches	7D_rep1	4
BB10.2	NA	NA	NA	2	NA	BB10	BurhamBeeches	7D_rep2	4
BB10.3	NA	NA	NA	3	NA	BB10	BurhamBeeches	7D_rep3	2
BB10.4	NA	NA	NA	4	NA	BB10	BurhamBeeches	7D_rep4	2
BB100.1	NA	NA	NA	1	NA	BB100	BurhamBeeches	7D_rep1	4
BB100.2	NA	NA	NA	2	NA	BB100	BurhamBeeches	7D_rep2	2
BB100.3	NA	NA	NA	3	NA	BB100	BurhamBeeches	7D_rep3	3
BB100.4	NA	NA	NA	4	NA	BB100	BurhamBeeches	7D_rep4	3
BB11.1	NA	NA	NA	1	NA	BB11	BurhamBeeches	7D_rep1	2
BB11.2	NA	NA	NA	2	NA	BB11	BurhamBeeches	7D_rep2	2
BB11.3	NA	NA	NA	3	NA	BB11	BurhamBeeches	7D_rep3	2
BB11.4	NA	NA	NA	4	NA	BB11	BurhamBeeches	7D_rep4	2
BB12.1	NA	NA	NA	1	NA	BB12	BurhamBeeches	7D_rep1	2
BB12.2	NA	NA	NA	2	NA	BB12	BurhamBeeches	7D_rep2	2
BB12.3	NA	NA	NA	3	NA	BB12	BurhamBeeches	7D_rep3	2
BB12.4	NA	NA	NA	4	NA	BB12	BurhamBeeches	7D_rep4	2
BB13.1	NA	NA	NA	1	NA	BB13	BurhamBeeches	7D_rep1	2
BB13.2	NA	NA	NA	2	NA	BB13	BurhamBeeches	7D_rep2	2
BB13.3	NA	NA	NA	3	NA	BB13	BurhamBeeches	7D_rep3	2
BB13.4	NA	NA	NA	4	NA	BB13	BurhamBeeches	7D_rep4	2
BB14.1	NA	NA	NA	1	NA	BB14	BurhamBeeches	7D_rep1	2
BB14.2	NA	NA	NA	2	NA	BB14	BurhamBeeches	7D_rep2	4
BB14.3	NA	NA	NA	3	NA	BB14	BurhamBeeches	7D_rep3	2
BB14.4	NA	NA	NA	4	NA	BB14	BurhamBeeches	7D_rep4	2
BB15.1	NA	NA	NA	1	NA	BB15	BurhamBeeches	7D_rep1	2
BB15.2	NA	NA	NA	2	NA	BB15	BurhamBeeches	7D_rep2	2
BB15.3	NA	NA	NA	3	NA	BB15	BurhamBeeches	7D_rep3	2
BB15.4	NA	NA	NA	4	NA	BB15	BurhamBeeches	7D_rep4	2
BB16.1	NA	NA	NA	1	NA	BB16	BurhamBeeches	7D_rep1	2
BB16.2	NA	NA	NA	2	NA	BB16	BurhamBeeches	7D_rep2	2
BB16.3	NA	NA	NA	3	NA	BB16	BurhamBeeches	7D_rep3	2
BB16.4	NA	NA	NA	4	NA	BB16	BurhamBeeches	7D_rep4	4
BB17.1	NA	NA	NA	1	NA	BB17	BurhamBeeches	7D_rep1	2
BB17.2	NA	NA	NA	2	NA	BB17	BurhamBeeches	7D_rep2	2
BB17.3	NA	NA	NA	3	NA	BB17	BurhamBeeches	7D_rep3	2
BB17.4	NA	NA	NA	4	NA	BB17	BurhamBeeches	7D_rep4	2
BB18.1	NA	NA	NA	1	NA	BB18	BurhamBeeches	7D_rep1	4
BB18.2	NA	NA	NA	2	NA	BB18	BurhamBeeches	7D_rep2	4
BB18.3	NA	NA	NA	3	NA	BB18	BurhamBeeches	7D_rep3	4
BB18.4	NA	NA	NA	4	NA	BB18	BurhamBeeches	7D_rep4	4
BB19.1	NA	NA	NA	1	NA	BB19	BurhamBeeches	7D_rep1	2
BB19.2	NA	NA	NA	2	NA	BB19	BurhamBeeches	7D_rep2	1
BB19.3	NA	NA	NA	3	NA	BB19	BurhamBeeches	7D_rep3	1
BB19.4	NA	NA	NA	4	NA	BB19	BurhamBeeches	7D_rep4	2
BB20.1	NA	NA	NA	1	NA	BB20	BurhamBeeches	7D_rep1	2
BB20.2	NA	NA	NA	2	NA	BB20	BurhamBeeches	7D_rep2	2
BB20.3	NA	NA	NA	3	NA	BB20	BurhamBeeches	7D_rep3	2
BB20.4	NA	NA	NA	4	NA	BB20	BurhamBeeches	7D_rep4	2
BB21.1	NA	NA	NA	1	NA	BB21	BurhamBeeches	7D_rep1	2
BB21.2	NA	NA	NA	2	NA	BB21	BurhamBeeches	7D_rep2	2
BB21.3	NA	NA	NA	3	NA	BB21	BurhamBeeches	7D_rep3	2
BB21.4	NA	NA	NA	4	NA	BB21	BurhamBeeches	7D_rep4	2
BB22.1	NA	NA	NA	1	NA	BB22	BurhamBeeches	7D_rep1	2
BB22.2	NA	NA	NA	2	NA	BB22	BurhamBeeches	7D_rep2	2
BB22.3	NA	NA	NA	3	NA	BB22	BurhamBeeches	7D_rep3	2
BB22.4	NA	NA	NA	4	NA	BB22	BurhamBeeches	7D_rep4	2
BB23.1	NA	NA	NA	1	NA	BB23	BurhamBeeches	7D_rep1	4
BB23.2	NA	NA	NA	2	NA	BB23	BurhamBeeches	7D_rep2	4
BB23.3	NA	NA	NA	3	NA	BB23	BurhamBeeches	7D_rep3	4
BB23.4	NA	NA	NA	4	NA	BB23	BurhamBeeches	7D_rep4	4
BB24.1	NA	NA	NA	1	NA	BB24	BurhamBeeches	7D_rep1	2
BB24.2	NA	NA	NA	2	NA	BB24	BurhamBeeches	7D_rep2	2
BB24.3	NA	NA	NA	3	NA	BB24	BurhamBeeches	7D_rep3	2
BB24.4	NA	NA	NA	4	NA	BB24	BurhamBeeches	7D_rep4	2
BB25.1	NA	NA	NA	1	NA	BB25	BurhamBeeches	7D_rep1	2
BB25.2	NA	NA	NA	2	NA	BB25	BurhamBeeches	7D_rep2	2
BB25.3	NA	NA	NA	3	NA	BB25	BurhamBeeches	7D_rep3	2
BB25.4	NA	NA	NA	4	NA	BB25	BurhamBeeches	7D_rep4	2
BB26.1	NA	NA	NA	1	NA	BB26	BurhamBeeches	7D_rep1	4
BB26.2	NA	NA	NA	2	NA	BB26	BurhamBeeches	7D_rep2	4
BB26.3	NA	NA	NA	3	NA	BB26	BurhamBeeches	7D_rep3	4
BB26.4	NA	NA	NA	4	NA	BB26	BurhamBeeches	7D_rep4	4
BB27.1	NA	NA	NA	1	NA	BB27	BurhamBeeches	7D_rep1	3
BB27.2	NA	NA	NA	2	NA	BB27	BurhamBeeches	7D_rep2	3
